x,y,z
-3,9,A
-2.7,7.290000000000001,A
-2.4,5.76,A
-2.1,4.41,A
-1.8,3.24,A
-1.5,2.25,A
-1.2000000000000002,1.4400000000000004,A
-0.8999999999999999,0.8099999999999998,A
-0.6000000000000001,0.3600000000000001,A
-0.30000000000000027,0.09000000000000016,A
0,0,A
0.2999999999999998,0.0899999999999999,A
0.5999999999999996,0.3599999999999996,A
0.8999999999999999,0.8099999999999998,A
1.2000000000000002,1.4400000000000004,A
1.5,2.25,A
1.7999999999999998,3.2399999999999993,A
2.0999999999999996,4.409999999999998,A
2.3999999999999995,5.759999999999997,A
2.7,7.290000000000001,A
3,9,A
-3,-9,C
-2.7,-7.290000000000001,C
-2.4,-5.76,C
-2.1,-4.41,C
-1.8,-3.24,C
-1.5,-2.25,C
-1.2000000000000002,-1.4400000000000004,C
-0.8999999999999999,-0.8099999999999998,C
-0.6000000000000001,-0.3600000000000001,C
-0.30000000000000027,-0.09000000000000016,C
0,-0,C
0.2999999999999998,-0.0899999999999999,C
0.5999999999999996,-0.3599999999999996,C
0.8999999999999999,-0.8099999999999998,C
1.2000000000000002,-1.4400000000000004,C
1.5,-2.25,C
1.7999999999999998,-3.2399999999999993,C
2.0999999999999996,-4.409999999999998,C
2.3999999999999995,-5.759999999999997,C
2.7,-7.290000000000001,C
3,-9,C
9,-3,B
7.290000000000001,-2.7,B
5.76,-2.4,B
4.41,-2.1,B
3.24,-1.8,B
2.25,-1.5,B
1.4400000000000004,-1.2000000000000002,B
0.8099999999999998,-0.8999999999999999,B
0.3600000000000001,-0.6000000000000001,B
0.09000000000000016,-0.30000000000000027,B
0,0,B
0.0899999999999999,0.2999999999999998,B
0.3599999999999996,0.5999999999999996,B
0.8099999999999998,0.8999999999999999,B
1.4400000000000004,1.2000000000000002,B
2.25,1.5,B
3.2399999999999993,1.7999999999999998,B
4.409999999999998,2.0999999999999996,B
5.759999999999997,2.3999999999999995,B
7.290000000000001,2.7,B
9,3,B
-9,-3,D
-7.290000000000001,-2.7,D
-5.76,-2.4,D
-4.41,-2.1,D
-3.24,-1.8,D
-2.25,-1.5,D
-1.4400000000000004,-1.2000000000000002,D
-0.8099999999999998,-0.8999999999999999,D
-0.3600000000000001,-0.6000000000000001,D
-0.09000000000000016,-0.30000000000000027,D
-0,0,D
-0.0899999999999999,0.2999999999999998,D
-0.3599999999999996,0.5999999999999996,D
-0.8099999999999998,0.8999999999999999,D
-1.4400000000000004,1.2000000000000002,D
-2.25,1.5,D
-3.2399999999999993,1.7999999999999998,D
-4.409999999999998,2.0999999999999996,D
-5.759999999999997,2.3999999999999995,D
-7.290000000000001,2.7,D
-9,3,D
