x1,x2,x3,x4,x5,x6,x7,m
0.766,0.703,-9.979,0.26,0.172,0.0785,0.767,a
0.635,0.986,-4.358,0.0311,0.0111,0.1,0.821,b
0.791,0.619,-5.886,0.0532,0.00784,0.351,0.371,b
0.616,0.635,-8.673,0.166,0.188,0.282,0.462,a
0.778,0.731,-4.325,0.0399,0.446,0.251,0.854,c
0.647,0.325,-13.512,0.0278,0.409,0.126,0.0961,b
0.808,0.767,-4.912,0.0445,0.255,0.0886,0.722,c
0.604,0.738,-6.53,0.0504,0.0265,0.331,0.216,d
0.872,0.579,-6.149,0.113,0.0699,0.116,0.483,b
0.602,0.658,-5.934,0.0558,0.0233,0.237,0.268,b
0.509,0.729,-4.773,0.0343,0.0732,0.233,0.196,b
0.62,0.692,-6.423,0.103,0.0251,0.151,0.397,d
0.724,0.485,-5.919,0.0376,0.256,0.416,0.581,d
0.606,0.805,-5.316,0.0378,0.0278,0.111,0.588,e
0.8,0.811,-4.77,0.266,0.521,0.362,0.801,c
0.41,0.834,-5.375,0.054,0.0651,0.115,0.333,f
0.67,0.888,-5.368,0.0299,0.00901,0.419,0.652,b
0.868,0.357,-10.594,0.12,0.649,0.0767,0.77,d
0.867,0.678,-9.06,0.0777,0.0253,0.275,0.547,c
0.816,0.806,-3.023,0.0563,0.0347,0.255,0.822,c
0.368,0.592,-11.042,0.0331,0.574,0.0674,0.398,f
0.587,0.661,-6.494,0.0241,0.035,0.0677,0.674,f
0.659,0.623,-2.253,0.0451,0.0667,0.582,0.439,c
0.878,0.779,-7.283,0.135,0.118,0.104,0.778,d
0.603,0.727,-6.085,0.0288,0.0347,0.126,0.356,f
0.894,0.928,-3.003,0.167,0.0025,0.11,0.395,e
0.596,0.448,-9.616,0.0396,0.365,0.206,0.796,f
0.74,0.766,-4.727,0.225,0.0785,0.036,0.64,d
0.469,0.79,-6.889,0.0391,1.48e-4,0.282,0.466,f
0.592,0.657,-6.67,0.113,0.406,0.115,0.707,d
0.575,0.404,-7.131,0.0444,0.763,0.102,0.357,c
0.781,0.728,-4.981,0.0621,0.0509,0.257,0.395,a
0.71,0.716,-4.958,0.0421,0.125,0.0918,0.392,c
0.744,0.952,-2.406,0.0487,0.28,0.351,0.964,c
0.679,0.85,-6.131,0.0371,0.00289,0.0633,0.822,f
0.636,0.623,-7.016,0.0603,0.468,0.351,0.389,b
0.736,0.666,-4.503,0.0417,0.0795,0.332,0.22,b
0.446,0.954,-8.069,0.0764,0.0232,0.297,0.332,f
0.353,0.656,-5.712,0.0319,0.0431,0.139,0.195,f
0.757,0.587,-7.832,0.0685,0.604,0.0935,0.657,b
0.69,0.416,-7.865,0.0335,0.617,0.102,0.479,c
0.598,0.526,-8.659,0.0415,0.129,0.14,0.529,b
0.732,0.592,-12.303,0.32,0.457,0.303,0.961,a
0.435,0.704,-5.071,0.118,0.384,0.886,0.35,c
0.711,0.895,-10.076,0.0856,9.13e-4,0.0676,0.695,c
0.758,0.671,-3.93,0.0428,0.021,0.256,0.258,d
0.652,0.678,-6.183,0.0541,0.183,0.106,0.28,d
0.693,0.823,-3.761,0.0726,0.0932,0.328,0.741,f
0.849,0.862,-3.541,0.161,0.2,0.0658,0.619,c
0.779,0.477,-8.751,0.115,0.0635,0.157,0.546,d
0.716,0.821,-4.204,0.0389,0.551,0.618,0.931,f
0.677,0.525,-6.429,0.0344,0.126,0.296,0.664,d
0.856,0.5,-10.697,0.285,0.00458,0.0915,0.389,a
0.668,0.881,-7.851,0.0353,0.0921,0.557,0.964,d
0.75,0.458,-9.092,0.0803,0.226,0.137,0.536,d
0.748,0.475,-11.256,0.0279,0.13,0.0755,0.408,c
0.7,0.675,-10.956,0.241,0.578,0.0397,0.608,f
0.806,0.833,-4.397,0.0538,0.414,0.331,0.918,c
0.43,0.944,-3.04,0.16,2.66e-5,0.235,0.55,b
0.83,0.796,-5.596,0.0702,0.116,0.328,0.794,c
0.477,0.227,-12.143,0.0447,0.104,0.0816,0.151,f
0.716,0.971,-4.963,0.0685,0.0048,0.277,0.125,e
0.63,0.616,-8.128,0.0309,0.463,0.173,0.509,f
0.89,0.74,-6.367,0.0681,0.271,0.118,0.0683,a
0.399,0.645,-5.983,0.0734,0.0895,0.1,0.245,e
0.481,0.716,-5.996,0.622,0.0123,0.141,0.404,a
0.315,0.296,-13.262,0.0317,0.771,0.702,0.436,c
0.745,0.715,-3.368,0.245,0.128,0.182,0.342,d
0.797,0.453,-10.412,0.0473,0.381,0.156,0.475,d
0.906,0.63,-8.071,0.0575,5.47e-4,0.0994,0.342,b
0.428,0.694,-8.455,0.0978,0.697,0.764,0.574,c
0.405,0.616,-5.847,0.0889,0.231,0.347,0.543,d
0.779,0.924,-5.338,0.237,0.0169,0.571,0.776,e
0.69,0.691,-3.543,0.0688,0.14,0.113,0.374,e
0.729,0.753,-5.54,0.132,0.0815,0.0575,0.696,a
0.774,0.545,-9.58,0.145,0.707,0.147,0.124,c
0.773,0.578,-11.772,0.0517,0.0136,0.331,0.463,e
0.481,0.634,-8.428,0.318,0.111,0.3,0.675,f
0.687,0.651,-5.36,0.0853,0.147,0.305,0.661,d
0.622,0.836,-4.113,0.137,0.361,0.156,0.426,c
0.502,0.455,-7.898,0.0337,0.385,0.493,0.542,c
0.752,0.84,-4.451,0.0373,0.00486,0.0916,0.461,b
0.538,0.77,-7.376,0.0487,0.0158,0.0686,0.238,d
0.62,0.893,-1.718,0.0436,0.0383,0.159,0.16,a
0.758,0.627,-7.831,0.0523,0.116,0.106,0.601,f
0.794,0.681,-8.14,0.0464,0.031,0.327,0.269,c
0.32,0.579,-5.425,0.043,0.0582,0.115,0.13,e
0.458,0.969,-4.253,0.0928,6.81e-6,0.296,0.503,f
0.392,0.855,-4.742,0.0652,7.13e-4,0.196,0.456,b
0.634,0.753,-6.875,0.0379,0.0347,0.0624,0.964,b
0.214,0.947,-5.053,0.0507,5.52e-4,0.238,0.483,f
0.74,0.494,-12.662,0.0912,0.282,0.102,0.829,e
0.529,0.995,-3.228,0.045,9.69e-4,0.351,0.235,e
0.557,0.959,-4.632,0.0547,1.13e-4,0.233,0.331,f
0.595,0.714,-5.705,0.0609,0.0381,0.08,0.141,f
0.546,0.747,-9.233,0.053900000000000003,0.473,0.119,0.714,f
0.831,0.509,-6.497,0.0463,0.0371,0.156,0.236,e
0.869,0.687,-6.816,0.263,0.0208,0.114,0.668,a
0.616,0.669,-5.791,0.32,0.0298,0.127,0.275,a
0.745,0.869,-4.375,0.0444,0.00193,0.0799,0.814,e
0.811,0.695,-3.942,0.246,0.395,0.109,0.51,a
0.734,0.714,-6.293,0.15,0.2,0.318,0.61,a
0.944,0.839,-4.141,0.108,0.00919,0.0921,0.892,a
0.715,0.776,-5.266,0.349,0.117,0.127,0.804,a
0.809,0.876,-4.802,0.155,0.154,0.0525,0.528,c
0.552,0.887,-3.812,0.147,0.0457,0.0903,0.783,e
0.807,0.887,-3.726,0.0503,0.0573,0.124,0.961,b
0.467,0.988,-3.313,0.112,1.52e-4,0.28,0.321,f
0.761,0.899,-3.09,0.183,0.0135,0.0719,0.673,a
0.313,0.418,-9.975,0.031,0.765,0.322,0.472,d
0.667,0.952,-2.492,0.0358,0.0305,0.216,0.622,e
0.522,0.707,-7.113,0.0354,0.24,0.156,0.572,f
0.857,0.647,-4.152,0.0984,0.391,0.0842,0.553,c
0.593,0.8,-3.077,0.0621,0.357,0.101,0.781,c
0.766,0.271,-5.697,0.0412,0.037,0.175,0.0371,d
0.859,0.6,-4.63,0.301,0.071,0.353,0.568,d
0.8,0.588,-7.24,0.0768,0.0946,0.108,0.907,e
0.445,0.96,-5.6,0.049,0.0483,0.191,0.618,f
0.682,0.927,-2.915,0.0479,0.0843,0.149,0.744,b
0.701,0.419,-7.877,0.0477,0.503,0.0998,0.228,a
0.616,0.97,-4.577,0.0596,0.00289,0.111,0.491,e
0.189,0.893,-3.107,0.0445,3.64e-5,0.183,0.599,f
0.667,0.635,-5.761,0.0518,0.0503,0.367,0.478,b
0.691,0.619,-9.552,0.0542,0.107,0.27,0.68,a
0.65,0.722,-4.453,0.308,0.466,0.123,0.901,c
0.457,0.93,-4.544,0.0673,0.0309,0.135,0.294,f
0.622,0.603,-7.242,0.107,0.332,0.133,0.462,a
0.707,0.797,-3.249,0.075,0.00122,0.266,0.309,e
0.8,0.355,-10.47,0.0895,0.616,0.118,0.253,a
0.456,0.681,-10.028,0.0639,0.283,0.0845,0.536,f
0.723,0.57,-12.316,0.463,0.111,0.174,0.918,a
0.686,0.769,-6.381,0.207,0.017,0.374,0.409,d
0.77,0.775,-4.65,0.0349,0.178,0.0651,0.848,c
0.651,0.695,-5.7,0.0357,0.0834,0.306,0.243,e
0.532,0.705,-8.439,0.0328,0.137,0.0857,0.693,f
0.511,0.613,-8.344,0.312,0.112,0.0857,0.426,b
0.518,0.729,-7.193,0.0452,0.183,0.0643,0.343,d
0.612,0.659,-6.995,0.406,0.0137,0.417,0.393,a
0.686,0.581,-5.911,0.112,2.76e-4,0.3,0.253,e
0.66,0.766,-4.263,0.194,0.0477,0.624,0.722,a
0.715,0.553,-10.11,0.252,0.0155,0.212,0.429,a
0.813,0.869,-4.416,0.043,0.0257,0.0943,0.531,b
0.615,0.514,-9.759,0.0466,0.393,0.248,0.822,d
0.734,0.583,-11.866,0.129,0.125,0.0367,0.76,e
0.548,0.534,-10.493,0.342,0.0898,0.138,0.192,a
0.57,0.585,-7.041,0.251,0.128,0.111,0.378,b
0.793,0.49,-10.984,0.285,0.25,0.432,0.468,d
0.902,0.612,-6.217,0.283,0.135,0.374,0.681,a
